INSTANCE,VCPU,RAM,HOURLY ON DEMAND
t4g.nano,2,0.5,0.0042 
t3a.nano,2,0.5,0.0047 
t3.nano,2,0.5,0.0052 
t2.nano,1,0.5,0.0058 
t4g.micro,2,1.0,0.0084 
t3a.micro,2,1.0,0.0094 
t3.micro,2,1.0,0.0104 
t2.micro,1,1.0,0.0116 
t4g.small,2,2.0,0.0168 
t3a.small,2,2.0,0.0188 
t1.micro,1,0.613,0.0200 
t3.small,2,2.0,0.0208 
t2.small,1,2.0,0.0230 
a1.medium,1,2.0,0.0255 
t4g.medium,2,4.0,0.0336 
c6g.medium,1,2.0,0.0340 
c7g.medium,1,2.0,0.0363 
t3a.medium,2,4.0,0.0376 
c6gd.medium,1,2.0,0.0384 
m6g.medium,1,4.0,0.0385 
m7g.medium,1,4.0,0.0408 
t3.medium,2,4.0,0.0416 
c6gn.medium,1,2.0,0.0432 
m1.small,1,1.7,0.0440 
m6gd.medium,1,4.0,0.0452 
c7gd.medium,1,2.0,0.0454 
t2.medium,2,4.0,0.0464 
r6g.medium,1,8.0,0.0504 
a1.large,2,4.0,0.0510 
c7a.medium,1,2.0,0.0513 
m7gd.medium,1,4.0,0.0534 
r7g.medium,1,8.0,0.0536 
r6gd.medium,1,8.0,0.0576 
m7a.medium,1,4.0,0.0580 
c7gn.medium,1,2.0,0.0624 
m3.medium,1,3.75,0.0670 
t4g.large,2,8.0,0.0672 
r7gd.medium,1,8.0,0.0680 
c6g.large,2,4.0,0.0680 
c7g.large,2,4.0,0.0725 
t3a.large,2,8.0,0.0752 
r7a.medium,1,8.0,0.0761 
c6a.large,2,4.0,0.0765 
c6gd.large,2,4.0,0.0768 
m6g.large,2,8.0,0.0770 
c5a.large,2,4.0,0.0770 
m7g.large,2,8.0,0.0816 
t3.large,2,8.0,0.0832 
x2gd.medium,1,16.0,0.0835 
c5.large,2,4.0,0.0850 
c6i.large,2,4.0,0.0850 
m5a.large,2,8.0,0.0860 
c5ad.large,2,4.0,0.0860 
m6a.large,2,8.0,0.0864 
c6gn.large,2,4.0,0.0864 
m1.medium,1,3.75,0.0870 
c7i.large,2,4.0,0.0892 
m6gd.large,2,8.0,0.0904 
c7gd.large,2,4.0,0.0907 
t2.large,2,8.0,0.0928 
m7i-flex.large,2,8.0,0.0958 
m6i.large,2,8.0,0.0960 
m5.large,2,8.0,0.0960 
c5d.large,2,4.0,0.0960 
m4.large,2,8.0,0.1000 
c4.large,2,3.75,0.1000 
m7i.large,2,8.0,0.1008 
c6id.large,2,4.0,0.1008 
r6g.large,2,16.0,0.1008 
a1.xlarge,4,8.0,0.1020 
c7a.large,2,4.0,0.1026 
m5ad.large,2,8.0,0.1030 
c3.large,2,3.75,0.1050 
m7gd.large,2,8.0,0.1068 
r7g.large,2,16.0,0.1071 
c5n.large,2,5.25,0.1080 
m5d.large,2,8.0,0.1130 
r5a.large,2,16.0,0.1130 
r6a.large,2,16.0,0.1134 
c6in.large,2,4.0,0.1134 
r6gd.large,2,16.0,0.1152 
m7a.large,2,8.0,0.1159 
m6id.large,2,8.0,0.1187 
m5n.large,2,8.0,0.1190 
c7gn.large,2,4.0,0.1248 
r6i.large,2,16.0,0.1260 
r5.large,2,16.0,0.1260 
c1.medium,2,1.7,0.1300 
r5ad.large,2,16.0,0.1310 
r7i.large,2,16.0,0.1323 
m3.large,2,7.5,0.1330 
r4.large,2,15.25,0.1330 
t4g.xlarge,4,16.0,0.1344 
m5dn.large,2,8.0,0.1360 
c6g.xlarge,4,8.0,0.1360 
r7gd.large,2,16.0,0.1361 
m6in.large,2,8.0,0.1392 
r5d.large,2,16.0,0.1440 
is4gen.medium,1,6.0,0.1441 
c7g.xlarge,4,8.0,0.1450 
r5b.large,2,16.0,0.1490 
r5n.large,2,16.0,0.1490 
t3a.xlarge,4,16.0,0.1504 
r6id.large,2,16.0,0.1512 
r7a.large,2,16.0,0.1522 
c6a.xlarge,4,8.0,0.1530 
c6gd.xlarge,4,8.0,0.1536 
c5a.xlarge,4,8.0,0.1540 
m6g.xlarge,4,16.0,0.1540 
i4g.large,2,16.0,0.1544 
i3.large,2,15.25,0.1560 
