INSTANCE,VCPU,RAM,HOURLY ON DEMAND
B2pts v2,2,1.0,0.01
B2pls v2,2,4.0,0.04
B2ps v2,2,8.0,0.08
B4pls v2,4,8.0,0.142
B4ps v2,4,16.0,0.16
B8pls v2,8,16.0,0.283
B8ps v2,8,32.0,0.32
B16pls v2,16,32.0,0.567
B16ps v2,16,64.0,0.64
B2ts v2,2,1.0,0.0124
B2ls v2,2,4.0,0.0496
B2s v2,2,8.0,0.0992
B4ls v2,4,8.0,0.176
B4s v2,4,16.0,0.198
B8ls v2,8,16.0,0.351
B8s v2,8,32.0,0.397
B16ls v2,16,32.0,0.703
B16s v2,16,64.0,0.794
B32ls v2,32,64.0,1.405
B32s v2,32,128.0,1.587
B2ats v2,2,1.0,0.0112
B2als v2,2,4.0,0.0446
B2as v2,2,8.0,0.0892
B4als v2,4,8.0,0.158
B4as v2,4,16.0,0.178
B8als v2,8,16.0,0.316
B8as v2,8,32.0,0.357
B16als v2,16,32.0,0.632
B16as v2,16,64.0,0.714
B32als v2,32,64.0,1.264
B32as v2,32,128.0,1.427
B1ls,1,0.5,0.0062
B1s,1,1.0,0.0124
B1ms,1,2.0,0.0248
B2s,2,4.0,0.0496
B2ms,2,8.0,0.0992
B4ms,4,16.0,0.198
B8ms,8,32.0,0.397
B12ms,12,48.0,0.595
B16ms,16,64.0,0.794
B20ms,20,80.0,0.992
A1 v2,1,2.0,0.043
A2 v2,2,4.0,0.0903
A2m v2,2,16.0,0.119
A4 v2,4,8.0,0.191
A4m v2,4,32.0,0.237
A8 v2,8,16.0,0.399
A8m v2,8,64.0,0.475
D2as v5,2,8.0,0.101
D4as v5,4,16.0,0.202
D8as v5,8,32.0,0.404
D16as v5,16,64.0,0.808
D32as v5,32,128.0,1.616
D48as v5,48,192.0,2.424
D64as v5,64,256.0,3.232
D96as v5,96,384.0,4.848
D2ads v5,2,8.0,0.122
D4ads v5,4,16.0,0.244
D8ads v5,8,32.0,0.488
D16ads v5,16,64.0,0.976
D32ads v5,32,128.0,1.952
D48ads v5,48,192.0,2.928
D64ads v5,64,256.0,3.904
D96ads v5,96,384.0,5.856
D2a v4,2,8.0,0.112
D4a v4,4,16.0,0.224
D8a v4,8,32.0,0.448
D16a v4,16,64.0,0.896
D32a v4,32,128.0,1.792
D48a v4,48,192.0,2.688
D64a v4,64,256.0,3.584
D96a v4,96,384.0,5.376
D2as v4,2,8.0,0.112
D4as v4,4,16.0,0.224
D8as v4,8,32.0,0.448
D16as v4,16,64.0,0.896
D32as v4,32,128.0,1.792
D48as v4,48,192.0,2.688
D64as v4,64,256.0,3.584
D96as v4,96,384.0,5.376
D2ps v5,2,8.0,0.0896
D4ps v5,4,16.0,0.179
D8ps v5,8,32.0,0.358
D16ps v5,16,64.0,0.717
D32ps v5,32,128.0,1.434
D48ps v5,48,192.0,2.15
D64ps v5,64,208.0,2.867
D2pds v5,2,8.0,0.106
D4pds v5,4,16.0,0.212
D8pds v5,8,32.0,0.424
D16pds v5,16,64.0,0.848
D32pds v5,32,128.0,1.696
D48pds v5,48,192.0,2.544
D64pds v5,64,208.0,3.392
D2pls v5,2,4.0,0.0848
D4pls v5,4,8.0,0.17
D8pls v5,8,16.0,0.339
D16pls v5,16,32.0,0.678
D32pls v5,32,64.0,1.357
D48pls v5,48,96.0,2.035
D64pls v5,64,128.0,2.714
D2plds v5,2,4.0,0.096
D4plds v5,4,8.0,0.192
D8plds v5,8,16.0,0.384
D16plds v5,16,32.0,0.768
D32plds v5,32,64.0,1.536
D48plds v5,48,96.0,2.304
D64plds v5,64,128.0,3.072
D2d v5,2,8.0,0.133
D4d v5,4,16.0,0.266
D8d v5,8,32.0,0.532
D16d v5,16,64.0,1.064
D32d v5,32,128.0,2.128
D48d v5,48,192.0,3.192
D64d v5,64,256.0,4.256
D96d v5,96,384.0,6.384
D2ds v5,2,8.0,0.133
D4ds v5,4,16.0,0.266
D8ds v5,8,32.0,0.532
D16ds v5,16,64.0,1.064
D32ds v5,32,128.0,2.128
D48ds v5,48,192.0,3.192
D64ds v5,64,256.0,4.256
D96ds v5,96,384.0,6.384
D2 v5,2,8.0,0.112
D4 v5,4,16.0,0.224
D8 v5,8,32.0,0.448
D16 v5,16,64.0,0.896
D32 v5,32,128.0,1.792
D48 v5,48,192.0,2.688
D64 v5,64,256.0,3.584
D96 v5,96,384.0,5.376
D2s v5,2,8.0,0.112
D4s v5,4,16.0,0.224
D8s v5,8,32.0,0.448
D16s v5,16,64.0,0.896
D32s v5,32,128.0,1.792
D48s v5,48,192.0,2.688
D64s v5,64,256.0,3.584
D96s v5,96,384.0,5.376
D2ls v5,2,4.0,0.106
D4ls v5,4,8.0,0.212
D8ls v5,8,16.0,0.424
D16ls v5,16,32.0,0.848
D32ls v5,32,64.0,1.696
D48ls v5,48,96.0,2.544
D64ls v5,64,128.0,3.392
D96ls v5,96,192.0,5.088
D2lds v5,2,4.0,0.12
D4lds v5,4,8.0,0.24
D8lds v5,8,16.0,0.48
D16lds v5,16,32.0,0.96
D32lds v5,32,64.0,1.92
D48lds v5,48,96.0,2.88
D64lds v5,64,128.0,3.84
D96lds v5,96,192.0,5.76
DC2ads v5,2,8.0,0.122
DC4ads v5,4,16.0,0.244
DC8ads v5,8,32.0,0.488
DC16ads v5,16,64.0,0.976
DC32ads v5,32,128.0,1.952
DC48ads v5,48,192.0,2.928
DC64ads v5,64,256.0,3.904
DC96ads v5,96,384.0,5.856
DC2as v5,2,8.0,0.101
DC4as v5,4,16.0,0.202
DC8as v5,8,32.0,0.404
DC16as v5,16,64.0,0.808
DC32as v5,32,128.0,1.616
DC48as v5,48,192.0,2.424
DC64as v5,64,256.0,3.232
DC96as v5,96,384.0,4.848
D2d v4,2,8.0,0.133
D4d v4,4,16.0,0.266
D8d v4,8,32.0,0.532
D16d v4,16,64.0,1.064
D32d v4,32,128.0,2.128
D48d v4,48,192.0,3.192
D64d v4,64,256.0,4.256
D2ds v4,2,8.0,0.133
D4ds v4,4,16.0,0.266
D8ds v4,8,32.0,0.532
D16ds v4,16,64.0,1.064
D32ds v4,32,128.0,2.128
D48ds v4,48,192.0,3.192
